id, type, gender, skin tone, count, accessories
7000, Human, Male, Dark, 2, Messy Hair / Classic Shades
7001, Human, Male, Medium, 4, Police Cap / Chinstrap / Vape / Regular Shades
7002, Human, Male, Dark, 3, Cigarette / Normal Beard Black / Knitted Cap
7003, Human, Male, Dark, 3, Stringy Hair / Mustache / Mole
7004, Human, Male, Albino, 2, Front Beard / Purple Hair
7005, Human, Male, Dark, 2, Wild Hair / Goat
7006, Human, Male, Dark, 3, Normal Beard Black / Knitted Cap / Eye Patch
7007, Human, Male, Dark, 5, Bandana / Luxurious Beard / Vape / Earring / Horned Rim Glasses
7008, Human, Male, Dark, 2, Cap Forward / Shadow Beard
7009, Human, Female, Dark, 3, Clown Nose / Welding Goggles / Straight Hair Blonde
7010, Human, Female, Light, 2, Pipe / Black Lipstick
7011, Human, Female, Dark, 3, Clown Nose / Black Lipstick / Blonde Bob
7012, Human, Male, Light, 2, Fedora / Nerd Glasses
7013, Human, Female, Medium, 3, Messy Hair / Eye Patch / Purple Lipstick
7014, Zombie, Male, , 2, Cigarette / Frumpy Hair
7015, Human, Female, Dark, 5, Tassle Hat / Vape / Blue Eye Shadow / Black Lipstick / Earring
7016, Human, Female, Light, 2, Cap / Purple Eye Shadow
7017, Human, Male, Light, 2, Mohawk / Big Beard
7018, Human, Male, Medium, 3, Buck Teeth / Purple Hair / Earring
7019, Human, Male, Dark, 4, Clown Nose / Normal Beard Black / Peak Spike / Classic Shades
7020, Human, Female, Light, 3, Black Lipstick / Green Eye Shadow / Blonde Short
7021, Human, Male, Albino, 2, Shaved Head / Clown Eyes Green
7022, Human, Female, Medium, 3, Mole / Wild Hair / 3D Glasses
7023, Human, Male, Light, 3, Goat / Crazy Hair / 3D Glasses
7024, Human, Female, Light, 2, Knitted Cap / Eye Patch
7025, Human, Male, Medium, 2, Classic Shades / Shaved Head
7026, Human, Male, Medium, 3, Mustache / Earring / Cowboy Hat
7027, Human, Female, Light, 3, Wild Blonde / VR / Cigarette
7028, Human, Male, Medium, 3, Peak Spike / Front Beard Dark / Earring
7029, Human, Male, Dark, 3, Cap Forward / Front Beard Dark / Mole
7030, Human, Male, Dark, 3, Bandana / Big Shades / Goat
7031, Human, Male, Albino, 2, Smile / Cowboy Hat
7032, Human, Male, Medium, 4, Stringy Hair / Cigarette / Clown Eyes Blue / Mustache
7033, Human, Female, Albino, 3, Mole / Clown Eyes Green / Mohawk Thin
7034, Human, Male, Light, 4, Frumpy Hair / Clown Nose / Luxurious Beard / Earring
7035, Human, Male, Medium, 3, Vampire Hair / Cigarette / Goat
7036, Human, Male, Medium, 3, Clown Eyes Blue / Fedora / Earring
7037, Human, Male, Medium, 3, Earring / Horned Rim Glasses / Cowboy Hat
7038, Human, Female, Light, 3, Red Mohawk / Black Lipstick / Gold Chain
7039, Human, Female, Light, 4, Green Eye Shadow / Crazy Hair / Hot Lipstick / Earring
7040, Human, Male, Medium, 2, Bandana / Normal Beard
7041, Human, Female, Light, 3, Cap / Green Eye Shadow / Hot Lipstick
