id, type, gender, skin tone, count, accessories
5000, Human, Female, Light, 3, Wild White Hair / Green Eye Shadow / Hot Lipstick
5001, Human, Female, Dark, 2, Orange Side / Hot Lipstick
5002, Human, Male, Dark, 4, Beanie / Earring / Nerd Glasses / Pipe
5003, Human, Male, Medium, 3, Frown / Headband / 3D Glasses
5004, Human, Male, Light, 4, Front Beard Dark / Earring / Horned Rim Glasses / Headband
5005, Human, Female, Dark, 2, Messy Hair / Nerd Glasses
5006, Human, Male, Medium, 3, Vampire Hair / Chinstrap / Regular Shades
5007, Human, Female, Albino, 2, Straight Hair / Hot Lipstick
5008, Human, Male, Medium, 2, Classic Shades / Cowboy Hat
5009, Human, Female, Dark, 3, Cap / Big Shades / Earring
5010, Human, Female, Light, 4, Horned Rim Glasses / Medical Mask / Straight Hair / Purple Lipstick
5011, Human, Female, Dark, 2, Straight Hair Dark / Cigarette
5012, Human, Male, Medium, 2, Cigarette / Crazy Hair
5013, Human, Male, Light, 3, Messy Hair / Normal Beard Black / Pipe
5014, Human, Female, Medium, 3, Black Lipstick / Straight Hair Blonde / Clown Eyes Blue
5015, Human, Male, Dark, 4, Buck Teeth / Vape / Goat / Mohawk
5016, Human, Male, Albino, 4, Earring / Do-rag / Regular Shades / Mole
5017, Human, Male, Dark, 3, Bandana / Big Shades / Earring
5018, Human, Male, Dark, 2, Frumpy Hair / Goat
5019, Human, Male, Light, 3, Earring / Nerd Glasses / Mohawk Dark
5020, Human, Male, Dark, 3, Bandana / Front Beard Dark / Classic Shades
5021, Human, Male, Dark, 3, Mohawk Thin / Shadow Beard / Earring
5022, Human, Male, Dark, 2, Normal Beard / Mohawk
5023, Human, Male, Dark, 4, Peak Spike / Front Beard Dark / Earring / Nerd Glasses
5024, Human, Female, Medium, 4, Blue Eye Shadow / Black Lipstick / Earring / Straight Hair Dark
5025, Human, Male, Dark, 3, Vampire Hair / Medical Mask / Eye Patch
5026, Human, Female, Medium, 3, Straight Hair / Classic Shades / Earring
5027, Human, Female, Dark, 3, Wild White Hair / Clown Eyes Green / Earring
5028, Human, Male, Dark, 3, Messy Hair / Muttonchops / Small Shades
5029, Human, Male, Light, 2, Headband / Clown Eyes Green
5030, Human, Female, Light, 2, Horned Rim Glasses / Wild Hair
5031, Human, Male, Light, 3, Frumpy Hair / Clown Eyes Blue / Shadow Beard
5032, Human, Female, Medium, 4, Hot Lipstick / Wild Hair / Clown Eyes Blue / Cigarette
5033, Human, Male, Light, 3, Peak Spike / Handlebars / Classic Shades
5034, Human, Male, Light, 3, Cap / Shadow Beard / Classic Shades
5035, Human, Male, Medium, 3, Handlebars / Classic Shades / Knitted Cap
5036, Human, Female, Albino, 4, Red Mohawk / Clown Eyes Green / Hot Lipstick / Earring
5037, Human, Male, Light, 3, Cap / Shadow Beard / Earring
5038, Human, Female, Medium, 3, Purple Eye Shadow / Mohawk Dark / Cigarette
5039, Human, Male, Medium, 3, Front Beard Dark / Horned Rim Glasses / Do-rag
5040, Human, Female, Dark, 2, Tassle Hat / Black Lipstick
5041, Human, Male, Dark, 3, Mustache / Small Shades / Mohawk Dark
5042, Human, Female, Dark, 3, Mohawk Thin / Hot Lipstick / Clown Eyes Blue
5043, Human, Female, Light, 2, Messy Hair / Clown Eyes Blue
5044, Human, Female, Medium, 3, Black Lipstick / Eye Patch / Frumpy Hair
5045, Human, Female, Albino, 2, Mohawk Dark / Nerd Glasses
5046, Human, Male, Medium, 2, Small Shades / Mole
5047, Human, Male, Dark, 2, Police Cap / Rosy Cheeks
5048, Human, Male, Light, 3, Bandana / Handlebars / Earring
5049, Human, Female, Light, 3, Orange Side / Clown Eyes Green / Purple Lipstick
5050, Human, Male, Light, 3, Shadow Beard / Shaved Head / Regular Shades
5051, Human, Male, Medium, 4, Front Beard / Peak Spike / Earring / 3D Glasses
5052, Human, Female, Light, 3, Clown Nose / Purple Eye Shadow / Mohawk Dark
5053, Human, Female, Dark, 4, Vape / Wild White Hair / Hot Lipstick / Earring
5054, Human, Female, Dark, 1, Clown Eyes Blue
5055, Human, Female, Medium, 4, Black Lipstick / Straight Hair / Regular Shades / Earring
5056, Human, Male, Albino, 4, Beanie / Luxurious Beard / Earring / VR
5057, Human, Male, Dark, 5, Chinstrap / Classic Shades / Earring / Shaved Head / Mole
5058, Human, Male, Light, 2, Stringy Hair / Small Shades
5059, Human, Male, Light, 3, Gold Chain / Headband / Regular Shades
5060, Human, Female, Dark, 4, Green Eye Shadow / Purple Lipstick / Earring / Straight Hair Dark
5061, Human, Male, Dark, 2, Frumpy Hair / Big Beard
5062, Human, Male, Medium, 3, Front Beard Dark / Crazy Hair / VR
5063, Human, Male, Dark, 3, Front Beard Dark / Nerd Glasses / Shaved Head
5064, Human, Female, Medium, 3, Eye Mask / Straight Hair / Cigarette
5065, Human, Male, Medium, 3, Front Beard Dark / Fedora / Earring
5066, Zombie, Male, , 3, Earring / Knitted Cap / Smile
5067, Human, Female, Dark, 3, Red Mohawk / Classic Shades / Earring
5068, Human, Female, Dark, 3, Messy Hair / Welding Goggles / Earring
5069, Human, Female, Medium, 2, Green Eye Shadow / Straight Hair Dark
5070, Human, Male, Light, 3, Cap Forward / Regular Shades / Mole
5071, Human, Female, Light, 3, Big Shades / Bandana / Hot Lipstick
5072, Human, Male, Light, 3, Horned Rim Glasses / Knitted Cap / Smile
5073, Human, Female, Medium, 3, Hot Lipstick / Classic Shades / Mohawk Dark
5074, Human, Female, Dark, 4, Cap / Hot Lipstick / Cigarette / Nerd Glasses
5075, Human, Female, Medium, 3, Green Eye Shadow / Headband / Earring
5076, Human, Female, Dark, 2, Black Lipstick / Wild Blonde
5077, Human, Male, Medium, 3, Messy Hair / Earring / Horned Rim Glasses
5078, Human, Male, Medium, 3, Normal Beard Black / Classic Shades / Knitted Cap
5079, Human, Female, Medium, 4, Pipe / Messy Hair / Clown Eyes Green / Hot Lipstick
5080, Human, Male, Light, 4, Shadow Beard / Wild Hair / Earring / Small Shades
5081, Human, Female, Light, 4, Black Lipstick / Blonde Short / VR / Cigarette
5082, Human, Female, Medium, 3, Blonde Short / Eye Patch / Hot Lipstick
5083, Human, Female, Dark, 4, Pink With Hat / Clown Eyes Green / Earring / Cigarette
5084, Human, Female, Light, 3, Black Lipstick / Straight Hair Blonde / Clown Eyes Blue
5085, Human, Female, Albino, 3, Purple Lipstick / Earring / Mohawk Dark
5086, Human, Female, Light, 2, Regular Shades / Mohawk Dark
5087, Human, Male, Medium, 2, Front Beard / Knitted Cap
5088, Human, Male, Albino, 3, Earring / Knitted Cap / Regular Shades
5089, Human, Male, Medium, 3, Muttonchops / Wild Hair / Regular Shades
5090, Human, Male, Light, 3, Stringy Hair / Goat / Eye Patch
5091, Human, Male, Albino, 2, Wild Hair / Nerd Glasses
5092, Human, Male, Light, 3, Luxurious Beard / Hoodie / Regular Shades
5093, Human, Male, Light, 3, Cap / Rosy Cheeks / 3D Glasses
5094, Human, Female, Medium, 3, Hot Lipstick / Mohawk Dark / Clown Eyes Blue
5095, Human, Male, Light, 3, Shadow Beard / Earring / Knitted Cap
5096, Human, Female, Medium, 4, Pipe / Clown Eyes Green / Hot Lipstick / Blonde Bob
5097, Human, Female, Medium, 3, Blue Eye Shadow / Black Lipstick / Wild Hair
5098, Human, Male, Dark, 3, Frumpy Hair / Frown / Front Beard Dark
5099, Human, Female, Light, 2, Bandana / Clown Eyes Blue
5100, Human, Male, Dark, 3, Clown Nose / Mohawk Thin / Earring
5101, Human, Male, Dark, 5, Frown / Mohawk Thin / Front Beard Dark / Earring / Small Shades
5102, Human, Female, Light, 2, Green Eye Shadow / Crazy Hair
5103, Human, Male, Dark, 3, Frumpy Hair / Normal Beard / VR
5104, Human, Male, Light, 3, Cigarette / Peak Spike / Horned Rim Glasses
5105, Human, Female, Medium, 3, Mohawk / Clown Eyes Green / Earring
5106, Human, Female, Medium, 4, Mole / Hot Lipstick / Classic Shades / Mohawk Dark
5107, Human, Male, Light, 4, Gold Chain / Muttonchops / Wild Hair / Horned Rim Glasses
5108, Human, Female, Medium, 5, Black Lipstick / Purple Eye Shadow / Frumpy Hair / Earring / Cigarette
5109, Human, Male, Medium, 4, Hoodie / Shadow Beard / Horned Rim Glasses / Mole
5110, Human, Male, Light, 4, Earring / Nerd Glasses / Goat / Crazy Hair
5111, Human, Male, Light, 3, Eye Mask / Normal Beard / Cowboy Hat
5112, Human, Male, Light, 4, Wild Hair / Vape / Earring / Goat
5113, Human, Male, Light, 3, Frown / Mohawk Thin / Mustache
5114, Human, Male, Light, 4, Mohawk Thin / Earring / Regular Shades / Big Beard
5115, Human, Female, Dark, 2, Red Mohawk / Blue Eye Shadow
5116, Human, Male, Medium, 2, Hoodie / 3D Glasses
