id, type, gender, skin tone, count, accessories
3000, Human, Male, Medium, 2, Frumpy Hair / Normal Beard
3001, Human, Male, Dark, 2, Vampire Hair / Nerd Glasses
3002, Human, Female, Dark, 2, Mohawk / Purple Eye Shadow
3003, Human, Male, Dark, 2, Front Beard / Do-rag
3004, Human, Female, Medium, 4, Mohawk / Purple Lipstick / Earring / Nerd Glasses
3005, Human, Female, Medium, 2, Messy Hair / Welding Goggles
3006, Human, Male, Medium, 2, Front Beard / Crazy Hair
3007, Human, Male, Medium, 2, Wild Hair / 3D Glasses
3008, Human, Female, Dark, 2, Tassle Hat / Horned Rim Glasses
3009, Human, Male, Dark, 5, Cigarette / Peak Spike / Big Shades / Earring / Normal Beard
3010, Human, Male, Medium, 2, Vampire Hair / Shadow Beard
3011, Human, Male, Dark, 6, Vampire Hair / Frown / Earring / Normal Beard / Pipe / Small Shades
3012, Human, Male, Light, 2, Stringy Hair / Gold Chain
3013, Human, Male, Medium, 3, Stringy Hair / Gold Chain / Chinstrap
3014, Human, Male, Dark, 3, Shadow Beard / Wild Hair / Horned Rim Glasses
3015, Human, Female, Medium, 3, Welding Goggles / Crazy Hair / Hot Lipstick
3016, Human, Male, Light, 4, Messy Hair / Normal Beard Black / Smile / Clown Eyes Green
3017, Human, Male, Dark, 4, Eye Mask / Frown / Knitted Cap / Big Beard
3018, Human, Male, Albino, 3, Cigarette / Wild Hair / Normal Beard
3019, Human, Male, Light, 3, Chinstrap / Eye Patch / Mohawk Dark
3020, Human, Male, Medium, 3, Cigarette / Luxurious Beard / Do-rag
3021, Human, Male, Medium, 3, Messy Hair / Handlebars / VR
3022, Human, Male, Light, 2, Hoodie / Clown Eyes Green
3023, Human, Male, Medium, 3, Bandana / Shadow Beard / Earring
3024, Human, Male, Albino, 2, Frumpy Hair / VR
3025, Human, Female, Dark, 3, Knitted Cap / Hot Lipstick / Clown Eyes Blue
3026, Human, Female, Light, 2, Horned Rim Glasses / Blonde Short
3027, Human, Male, Light, 3, Bandana / Front Beard Dark / 3D Glasses
3028, Human, Male, Albino, 3, Bandana / Shadow Beard / Eye Patch
3029, Human, Female, Light, 3, Red Mohawk / Blue Eye Shadow / Earring
3030, Human, Female, Medium, 2, Stringy Hair / Clown Eyes Blue
3031, Human, Female, Medium, 2, Tassle Hat / Nerd Glasses
3032, Human, Female, Light, 2, Wild Blonde / Rosy Cheeks
3033, Human, Male, Medium, 3, Cigarette / Shadow Beard / Do-rag
3034, Human, Female, Dark, 3, Bandana / Green Eye Shadow / Hot Lipstick
3035, Human, Male, Medium, 3, Handlebars / Wild Hair / Nerd Glasses
3036, Human, Male, Dark, 3, Luxurious Beard / Peak Spike / Eye Patch
3037, Human, Female, Dark, 2, Hot Lipstick / Blonde Bob
3038, Human, Female, Albino, 3, Cap / Spots / Cigarette
3039, Human, Male, Dark, 3, Frown / Hoodie / Mustache
3040, Human, Male, Medium, 3, Front Beard Dark / Nerd Glasses / Knitted Cap
3041, Human, Male, Medium, 2, Purple Hair / Mustache
